area_code,industry_code,occupation_code,value
0010740,000000,152031,150.0
0010740,000000,152041,60.0
0010740,000000,171011,250.0
0010740,000000,171012,40.0
0010740,000000,171022,100.0
0010740,000000,172011,320.0
0010740,000000,172051,820.0
0010740,000000,172071,1070.0
0010740,000000,172072,520.0
0010740,000000,172081,130.0
0010740,000000,172111,40.0
0010740,000000,172112,390.0
0010740,000000,172131,240.0
0010740,000000,172141,1030.0
0010740,000000,172199,1130.0
0010740,000000,173011,430.0
0010740,000000,173012,200.0
0010740,000000,173013,70.0
0010740,000000,173021,60.0
0010740,000000,173022,370.0
0010740,000000,173023,690.0
0010740,000000,173026,0.0
0010740,000000,173027,70.0
0010740,000000,173031,310.0
0010740,000000,173098,1020.0
0010740,000000,191022,60.0
0010740,000000,191023,80.0
0010740,000000,191029,170.0
0010740,000000,191031,40.0
0010740,000000,191041,40.0
0010740,000000,191042,330.0
0010740,000000,191099,80.0
0010740,000000,192031,150.0
0010740,000000,192041,430.0
0010740,000000,192042,120.0
0010740,000000,192043,130.0
0010740,000000,192099,80.0
0010740,000000,193011,0.0
0010740,000000,193022,0.0
0010740,000000,193031,470.0
0010740,000000,193039,80.0
0010740,000000,193051,180.0
0010740,000000,193091,110.0
0010740,000000,193099,90.0
0010740,000000,194021,90.0
0010740,000000,194042,230.0
0010740,000000,194045,50.0
0010740,000000,194071,80.0
0010740,000000,194092,170.0
0010740,000000,194099,150.0
0010740,000000,195011,310.0
0010740,000000,195012,50.0
